Time,Input,Output
2.05,4.828823529,2.409579668
2.06,4.970784314,2.93255132
2.08,4.634705882,3.377321603
2.1,3.825882353,3.651026393
2.12,2.715490196,3.699902248
2.14,1.538235294,3.367546432
2.15,0.664117647,2.966764418
2.17,0.121372549,2.609970674
2.18,0.028039216,1.999022483
2.2,0.385882353,1.598240469
2.22,1.219019608,1.33431085
2.23,2.278235294,1.441837732
2.25,3.50627451,1.637341153
2.27,4.48627451,2.052785924
2.29,4.951764706,2.590420332
2.3,4.815686275,3.108504399
2.32,4.055882353,3.484848485
2.34,2.943333333,3.626588465
2.36,1.644705882,3.34799609
2.37,0.666666667,3.137829912
2.39,0.053921569,2.497556207
2.41,0.073921569,2.003910068
2.42,0.584901961,1.603128055
2.44,1.628823529,1.37829912
2.45,2.907647059,1.407624633
2.47,4.146862745,1.715542522
2.49,4.858823529,2.223851417
2.51,4.920980392,2.913000978
2.53,4.187058824,3.352883675
2.54,3.007647059,3.558162268
2.56,1.589411765,3.308895406
2.58,0.511960784,3.103616813
2.59,0.021960784,2.434017595
2.61,0.186666667,1.945259042
2.63,0.910392157,1.578690127
2.64,2.098039216,1.417399804
2.66,3.631568627,1.285434995
2.68,4.644117647,2.873900293
2.69,4.972352941,2.927663734
2.71,4.404509804,4.217986315
2.73,3.137843137,4.369501466
2.75,1.704509804,3.16226784
2.76,0.572352941,3.240469208
2.78,0.005490196,1.51026393
2.8,0.258627451,0.91886608
2.81,1.268627451,0.615835777
2.83,2.625490196,1.520039101
2.85,4.092352941,2.135874878
2.87,4.916078431,3.069403715
2.88,4.797843137,3.861192571
2.9,3.746862745,4.276637341
2.92,2.174313725,4.203323558
2.94,0.782156863,2.629521017
2.95,0.043529412,1.744868035
2.97,0.169803922,1.045943304
2.98,1.157647059,0.679374389
3,2.581960784,0.713587488
3.02,4.053137255,1.275659824
3.04,4.928235294,3.093841642
3.05,4.697254902,3.861192571
3.07,3.445882353,4.252199413
3.09,1.842745098,3.225806452
3.1,0.56254902,3.357771261
3.12,0.000392157,1.568914956
3.14,0.445294118,0.943304008
3.15,1.680392157,0.674486804
3.17,3.339215686,1.715542522
3.19,4.668627451,2.541544477
3.21,4.920196078,3.499511241
3.22,4.026666667,4.110459433
3.24,2.330784314,4.2228739
3.26,0.700196078,3.582600196
3.28,0.015686275,1.759530792
3.29,0.364705882,1.041055718
3.31,1.61372549,0.68914956
3.33,3.432941176,0.840664712
3.34,4.714313725,1.686217009
3.36,4.904117647,2.761485826
3.38,3.719411765,4.130009775
3.4,1.980784314,4.110459433
3.41,0.430784314,2.512218964
3.43,0.010196078,2.34115347
3.45,0.72254902,0.923753666
3.46,2.372156863,0.723362659
3.48,4.080784314,1.177908113
3.5,4.97,3.064516129
3.52,4.386862745,3.856304985
3.53,2.774313725,4.164222874
3.55,0.905490196,2.878787879
3.57,0.034117647,2.761485826
3.58,0.430196078,1.143695015
3.6,1.868235294,0.767350929
3.62,3.62372549,1.001955034
3.63,4.886666667,2.781036168
3.65,4.618039216,3.670576735
3.67,2.98254902,4.130009775
3.69,1.102745098,2.961876833
3.7,0.069803922,2.883675464
3.72,0.37254902,1.217008798
3.74,1.831764706,0.796676442
3.75,3.750784314,1.011730205
3.77,4.913529412,2.829912023
3.79,4.517058824,3.714565005
3.81,2.710980392,4.130009775
3.82,0.839803922,2.854349951
3.84,0.000980392,1.867057674
3.86,0.657843137,1.119257087
3.87,2.364901961,0.811339198
3.89,4.329019608,1.231671554
3.91,4.97,3.123167155
3.93,3.775686275,3.914956012
3.94,1.76254902,4.002932551
3.96,0.281764706,2.414467253
3.98,0.210784314,1.441837732
3.99,1.623333333,0.879765396
4.01,3.692352941,0.977517107
4.03,4.925686275,1.911045943
4.04,4.394901961,3.690127077
4.06,2.367058824,4.090909091
4.08,0.51254902,2.693059629
4.1,0.059215686,2.438905181
4.11,1.250588235,0.997067449
4.13,3.242941176,0.909090909
4.15,4.845490196,1.666666667
4.16,4.606078431,3.563049853
4.18,2.531568627,4.076246334
4.2,0.575490196,2.75659824
4.22,0.028627451,1.73998045
4.23,1.146078431,1.021505376
4.25,3.321960784,0.87487781
4.27,4.890196078,2.507331378
4.28,4.485294118,3.567937439
4.3,2.508627451,4.056695992
4.32,0.371568627,3.587487781
4.34,0.123529412,1.666666667
4.35,1.563137255,1.001955034
4.37,3.672352941,1.827956989
4.39,4.971960784,2.737047898
4.4,4.021372549,3.709677419
4.42,1.789019608,3.206256109
4.44,0.143333333,3.30400782
4.45,0.370588235,1.480938416
4.47,2.188039216,0.928641251
4.49,4.433333333,1.23655914
4.51,4.881176471,3.142717498
4.52,3.019607843,3.919843597
4.54,0.776078431,2.88856305
4.56,0.013137255,1.867057674
4.57,1.186470588,1.085043988
4.59,3.519019608,0.987292278
4.61,4.967843137,1.803519062
4.63,4.07,3.675464321
4.64,1.618235294,4.002932551
4.66,0.056862745,2.370478983
4.67,0.521960784,1.402737048
4.69,2.724901961,0.909090909
4.71,4.767647059,2.248289345
4.73,4.559803922,3.372434018
4.74,2.256078431,3.968719453
4.76,0.262352941,3.455522972
4.78,0.463529412,1.544477028
4.8,2.518627451,0.987292278
4.81,4.63254902,1.392961877
4.83,4.61,3.34799609
4.85,2.290196078,3.968719453
4.87,0.191764706,2.600195503
4.88,0.335098039,1.578690127
4.9,2.332352941,0.953079179
4.92,4.721764706,2.096774194
4.93,4.558823529,3.274682307
4.95,2.138235294,3.914956012
4.97,0.169803922,3.352883675
4.98,0.47627451,1.520039101
5,0.47627451,1.520039101
